Model,Metric,Value
phi,R2,-3.472842567751072
GE,R2,0.37859752473514097
Ridge,PCC,0.4212712731743035
phi,PCC,0.36088276900888033
GE,PCC,0.6672594250639508
Ridge,r/s,15.210395496038355
phi,r/s,15.210395496038355
GE,r/s,132.1880978482219
Ridge,MAE,30194.223108157334
phi,MAE,122567.14540482205
GE,MAE,19099.194365676565
Ridge,MSE,845782.3503703667
phi,MSE,8886035.315993782
GE,MSE,626730.5036377979
Ridge,RMSE,919.6642595917092
phi,RMSE,2980.945372863076
GE,RMSE,791.6631250966524
Ridge,r,0.6859177370601204
phi,r,0.6514801581515777
GE,r,0.8225781287860091
Ridge,R2,0.47048313159989086
phi,R2,-4.563258196340184
GE,R2,0.6076243805847599
Ridge,PCC,0.4704831420136766
phi,PCC,0.4244263964652041
GE,PCC,0.6766347779570916
Ridge,r/s,12.065221192751906
phi,r/s,12.065221192751906
GE,r/s,77.37489537300871
Ridge,MAE,29667.86380039173
phi,MAE,88711.62597388958
GE,MAE,17466.078479650067
Ridge,MSE,830003.0525756893
phi,MSE,5375473.468505705
GE,MSE,582375.0470596236
Ridge,RMSE,911.0450332314475
phi,RMSE,2318.5067324693505
GE,RMSE,763.1350123402959
Ridge,r,0.6914498324039522
phi,r,0.6419271638163249
GE,r,0.852880565257712
Ridge,R2,0.4781028616097994
phi,R2,-2.3800408468374084
GE,R2,0.6338087316823229
Ridge,PCC,0.47810287073145374
phi,PCC,0.41207048364527077
GE,PCC,0.7274052585943132
Ridge,r/s,13.236258442595739
phi,r/s,13.236258442595739
GE,r/s,100.48033253901576
Ridge,MAE,42779.411864305446
phi,MAE,130590.71586525165
GE,MAE,21268.504795035537
Ridge,MSE,1373998.4823549194
phi,MSE,11579998.40133586
GE,MSE,641114.7653973885
Ridge,RMSE,1172.1768136057458
phi,RMSE,3402.939670540143
GE,RMSE,800.6964252432931
Ridge,r,0.7673740324898595
phi,r,0.7299104350337572
GE,r,0.9021544407099045
Ridge,R2,0.5888628962760778
phi,R2,-2.465045314819433
GE,R2,0.808161310812866
Ridge,PCC,0.5888629057397468
phi,PCC,0.5327692431711687
